meter,variation,seed_word,prompt
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear 
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale 
in iambic pentameter,,sloth,write a line in iambic pentameter including the word sloth 
in iambic pentameter,,cat,write a line in iambic pentameter including the word cat 
in iambic pentameter,,dog,write a line in iambic pentameter including the word dog 
in iambic pentameter,,giraffe,write a line in iambic pentameter including the word giraffe 
in iambic pentameter,,gazelle,write a line in iambic pentameter including the word gazelle 
in iambic pentameter,,baboon,write a line in iambic pentameter including the word baboon 
in iambic pentameter,,raccoon,write a line in iambic pentameter including the word raccoon 
in iambic pentameter,,macaw,write a line in iambic pentameter including the word macaw 
in iambic pentameter,,alpaca,write a line in iambic pentameter including the word alpaca 
in iambic pentameter,,hyena,write a line in iambic pentameter including the word hyena 
in iambic pentameter,,chinchilla,write a line in iambic pentameter including the word chinchilla 
in iambic pentameter,,coyote,write a line in iambic pentameter including the word coyote 
in iambic pentameter,,gorilla,write a line in iambic pentameter including the word gorilla 
in iambic pentameter,,kangaroo,write a line in iambic pentameter including the word kangaroo 
in iambic pentameter,,platypus,write a line in iambic pentameter including the word platypus 
in iambic pentameter,,porcupine,write a line in iambic pentameter including the word porcupine 
in iambic pentameter,,pangolin,write a line in iambic pentameter including the word pangolin 
in iambic pentameter,,ocelot,write a line in iambic pentameter including the word ocelot 
in iambic pentameter,,lemur,write a line in iambic pentameter including the word lemur 
in iambic pentameter,,lemming,write a line in iambic pentameter including the word lemming 
in iambic pentameter,,otter,write a line in iambic pentameter including the word otter 
in iambic pentameter,,parrot,write a line in iambic pentameter including the word parrot 
in iambic pentameter,,squirrel,write a line in iambic pentameter including the word squirrel 
in iambic pentameter,with rhythmic variation,bear,write a line in iambic pentameter including the word bear with rhythmic variation
in iambic pentameter,with rhythmic variation,whale,write a line in iambic pentameter including the word whale with rhythmic variation
in iambic pentameter,with rhythmic variation,sloth,write a line in iambic pentameter including the word sloth with rhythmic variation
in iambic pentameter,with rhythmic variation,cat,write a line in iambic pentameter including the word cat with rhythmic variation
in iambic pentameter,with rhythmic variation,dog,write a line in iambic pentameter including the word dog with rhythmic variation
in iambic pentameter,with rhythmic variation,giraffe,write a line in iambic pentameter including the word giraffe with rhythmic variation
in iambic pentameter,with rhythmic variation,gazelle,write a line in iambic pentameter including the word gazelle with rhythmic variation
in iambic pentameter,with rhythmic variation,baboon,write a line in iambic pentameter including the word baboon with rhythmic variation
in iambic pentameter,with rhythmic variation,raccoon,write a line in iambic pentameter including the word raccoon with rhythmic variation
