meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,"A grizzly bear stalks through the silent wood.
",,,,,,,
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale ,"A mighty whale did breach the ocean's swell.
",,,,,,,
in iambic pentameter,,sloth,write a line in iambic pentameter including the word sloth ,"The heavy sloth of winter holds the land.
",,,,,,,
in iambic pentameter,,cat,write a line in iambic pentameter including the word cat ,"A sleek black cat upon the window sat.
",,,,,,,
in iambic pentameter,,dog,write a line in iambic pentameter including the word dog ,"My faithful dog lies sleeping at my feet.
",,,,,,,
in iambic pentameter,,giraffe,write a line in iambic pentameter including the word giraffe ,"A graceful giraffe, neck high above the trees.
",,,,,,,
in iambic pentameter,,gazelle,write a line in iambic pentameter including the word gazelle ,"Across the plain, a graceful gazelle leaps.
",,,,,,,
in iambic pentameter,,baboon,write a line in iambic pentameter including the word baboon ,"A chattering baboon swung from the highest vine.
",,,,,,,
in iambic pentameter,,raccoon,write a line in iambic pentameter including the word raccoon ,"A masked raccoon crept through the moonlit night.
",,,,,,,
in iambic pentameter,,macaw,write a line in iambic pentameter including the word macaw ,"A brilliant macaw flashed across the sun.
",,,,,,,
in iambic pentameter,,alpaca,write a line in iambic pentameter including the word alpaca ,"Upon the hillside grazed a fluffy alpaca.
",,,,,,,
in iambic pentameter,,hyena,write a line in iambic pentameter including the word hyena ,"The laughing hyena howled beneath the moon.
",,,,,,,
in iambic pentameter,,chinchilla,write a line in iambic pentameter including the word chinchilla ,"A soft chinchilla brushed my hand so light.
",,,,,,,
in iambic pentameter,,coyote,write a line in iambic pentameter including the word coyote ,"Across the plains, a lone coyote cries.
",,,,,,,
in iambic pentameter,,gorilla,write a line in iambic pentameter including the word gorilla ,"A mighty gorilla beats his chest in rage.
",,,,,,,
in iambic pentameter,,kangaroo,write a line in iambic pentameter including the word kangaroo ,"Across the plains, a kangaroo did leap.
",,,,,,,
in iambic pentameter,,platypus,write a line in iambic pentameter including the word platypus ,"A strange platypus paddled in the stream.
",,,,,,,
in iambic pentameter,,porcupine,write a line in iambic pentameter including the word porcupine ,"A prickly porcupine, all quills and fright.
",,,,,,,
in iambic pentameter,,pangolin,write a line in iambic pentameter including the word pangolin ,"The shy pangolin, a treasure of the night,
",,,,,,,
in iambic pentameter,,ocelot,write a line in iambic pentameter including the word ocelot ,"The sleek ocelot glides through the moonlit night.
",,,,,,,
in iambic pentameter,,lemur,write a line in iambic pentameter including the word lemur ,"A gentle lemur leaped among the trees.
",,,,,,,
in iambic pentameter,,lemming,write a line in iambic pentameter including the word lemming ,"The frantic lemming leaps into the sea.
",,,,,,,
in iambic pentameter,,otter,write a line in iambic pentameter including the word otter ,"A sleek brown otter slides through reedy streams.
",,,,,,,
in iambic pentameter,,parrot,write a line in iambic pentameter including the word parrot ,"A scarlet parrot screeched upon the bough.
",,,,,,,
in iambic pentameter,,squirrel,write a line in iambic pentameter including the word squirrel ,"A furry squirrel leaps from branch to branch so high.
",,,,,,,
in iambic pentameter,with rhythmic variation,bear,write a line in iambic pentameter including the word bear with rhythmic variation,"With heavy paws, the slumbering bear did tread.
",,,,,,,
in iambic pentameter,with rhythmic variation,whale,write a line in iambic pentameter including the word whale with rhythmic variation,"A mighty whale did breach the ocean's swell.
",,,,,,,
in iambic pentameter,with rhythmic variation,sloth,write a line in iambic pentameter including the word sloth with rhythmic variation,"A heavy sloth, slow-moving, held its breath.
",,,,,,,
in iambic pentameter,with rhythmic variation,cat,write a line in iambic pentameter including the word cat with rhythmic variation,"The sleek black cat, a shadow in the night,
",,,,,,,
in iambic pentameter,with rhythmic variation,dog,write a line in iambic pentameter including the word dog with rhythmic variation,"My faithful dog, a shadow by my side.
",,,,,,,
in iambic pentameter,with rhythmic variation,giraffe,write a line in iambic pentameter including the word giraffe with rhythmic variation,"A graceful giraffe, so tall and strangely fair,
",,,,,,,
in iambic pentameter,with rhythmic variation,gazelle,write a line in iambic pentameter including the word gazelle with rhythmic variation,"A swift gazelle across the desert flew.
",,,,,,,
in iambic pentameter,with rhythmic variation,baboon,write a line in iambic pentameter including the word baboon with rhythmic variation,"A chattering baboon,  swiftly did he leap.
",,,,,,,
in iambic pentameter,with rhythmic variation,raccoon,write a line in iambic pentameter including the word raccoon with rhythmic variation,"A masked raccoon, swift, through the shadows flew.
",,,,,,,
in iambic pentameter,with rhythmic variation,macaw,write a line in iambic pentameter including the word macaw with rhythmic variation,"A brilliant macaw, a flash of feathered fire.
",,,,,,,
in iambic pentameter,with rhythmic variation,alpaca,write a line in iambic pentameter including the word alpaca with rhythmic variation,"Upon the hill, an alpaca softly grazed.
",,,,,,,
in iambic pentameter,with rhythmic variation,hyena,write a line in iambic pentameter including the word hyena with rhythmic variation,"The laughing hyena's shadow darkly fell.
",,,,,,,
in iambic pentameter,with rhythmic variation,chinchilla,write a line in iambic pentameter including the word chinchilla with rhythmic variation,"A tiny chinchilla, soft and silver-grey.
",,,,,,,
in iambic pentameter,with rhythmic variation,coyote,write a line in iambic pentameter including the word coyote with rhythmic variation,"A lone coyote howls beneath the moon.
",,,,,,,
in iambic pentameter,with rhythmic variation,gorilla,write a line in iambic pentameter including the word gorilla with rhythmic variation,"A mighty gorilla, grief-stricken and low,
",,,,,,,
in iambic pentameter,with rhythmic variation,kangaroo,write a line in iambic pentameter including the word kangaroo with rhythmic variation,"A bounding kangaroo, across the plains it flew.
",,,,,,,
in iambic pentameter,with rhythmic variation,platypus,write a line in iambic pentameter including the word platypus with rhythmic variation,"A strange platypus, paddling, softly glides.
",,,,,,,
in iambic pentameter,with rhythmic variation,porcupine,write a line in iambic pentameter including the word porcupine with rhythmic variation,"A prickly porcupine, a sudden fright.
",,,,,,,
in iambic pentameter,with rhythmic variation,pangolin,write a line in iambic pentameter including the word pangolin with rhythmic variation,"A shy pangolin, scales gleam in fading light.
",,,,,,,
in iambic pentameter,with rhythmic variation,ocelot,write a line in iambic pentameter including the word ocelot with rhythmic variation,"A sleek ocelot, in shadows, softly treads.
",,,,,,,
in iambic pentameter,with rhythmic variation,lemur,write a line in iambic pentameter including the word lemur with rhythmic variation,"A gentle lemur,  high in branches, sleeps.
",,,,,,,
in iambic pentameter,with rhythmic variation,lemming,write a line in iambic pentameter including the word lemming with rhythmic variation,"A frantic lemming, blindly to its doom, did run.
",,,,,,,
in iambic pentameter,with rhythmic variation,otter,write a line in iambic pentameter including the word otter with rhythmic variation,"A sleek brown otter slides through reeds so green.
",,,,,,,
in iambic pentameter,with rhythmic variation,parrot,write a line in iambic pentameter including the word parrot with rhythmic variation,"A screaming parrot squawked upon the bough.
",,,,,,,
in iambic pentameter,with rhythmic variation,squirrel,write a line in iambic pentameter including the word squirrel with rhythmic variation,"A frisky squirrel darts across the lawn.
",,,,,,,
in iambic pentameter,with a trochaic inversion,bear,write a line in iambic pentameter including the word bear with a trochaic inversion,"Bear not the weight of sorrow all alone.
",,,,,,,
in iambic pentameter,with a trochaic inversion,whale,write a line in iambic pentameter including the word whale with a trochaic inversion,"Whale of the deep, a shadow vast and old,
",,,,,,,
in iambic pentameter,with a trochaic inversion,sloth,write a line in iambic pentameter including the word sloth with a trochaic inversion,"Sloth held him captive, in its web of dreams.
",,,,,,,
in iambic pentameter,with a trochaic inversion,cat,write a line in iambic pentameter including the word cat with a trochaic inversion,"Upon the wall, a sleek black cat did leap.
",,,,,,,
in iambic pentameter,with a trochaic inversion,dog,write a line in iambic pentameter including the word dog with a trochaic inversion,"Dog by the fire, a loyal friend he lies.
",,,,,,,
in iambic pentameter,with a trochaic inversion,giraffe,write a line in iambic pentameter including the word giraffe with a trochaic inversion,"Giraffe, a creature of such gentle grace,
",,,,,,,
in iambic pentameter,with a trochaic inversion,gazelle,write a line in iambic pentameter including the word gazelle with a trochaic inversion,"Gazelle swift-footed, leaping o'er the plain,
",,,,,,,
in iambic pentameter,with a trochaic inversion,baboon,write a line in iambic pentameter including the word baboon with a trochaic inversion,"Baboons  did chatter,  loudly  in the trees.
",,,,,,,
in iambic pentameter,with a trochaic inversion,raccoon,write a line in iambic pentameter including the word raccoon with a trochaic inversion,"Raccoon swift, a shadow in the night,
",,,,,,,
in iambic pentameter,with a trochaic inversion,macaw,write a line in iambic pentameter including the word macaw with a trochaic inversion,"Bright plumaged macaw, a flash of tropic fire,
",,,,,,,
in iambic pentameter,with a trochaic inversion,alpaca,write a line in iambic pentameter including the word alpaca with a trochaic inversion,"Alpaca soft, the Andes' gentle fleece.
",,,,,,,
in iambic pentameter,with a trochaic inversion,hyena,write a line in iambic pentameter including the word hyena with a trochaic inversion,"Hyena laughed, a sound both harsh and deep.
",,,,,,,
in iambic pentameter,with a trochaic inversion,chinchilla,write a line in iambic pentameter including the word chinchilla with a trochaic inversion,"Chinchilla soft, the twilight shadows fall.
",,,,,,,
in iambic pentameter,with a trochaic inversion,coyote,write a line in iambic pentameter including the word coyote with a trochaic inversion,"Coyote swift, across the desert ran.
",,,,,,,
in iambic pentameter,with a trochaic inversion,gorilla,write a line in iambic pentameter including the word gorilla with a trochaic inversion,"Gorilla strong, a mighty beast he stood.
",,,,,,,
in iambic pentameter,with a trochaic inversion,kangaroo,write a line in iambic pentameter including the word kangaroo with a trochaic inversion,"Kangaroo leaps across the dusty plain.
",,,,,,,
in iambic pentameter,with a trochaic inversion,platypus,write a line in iambic pentameter including the word platypus with a trochaic inversion,"Platypus strange, a creature of the streams,
",,,,,,,
in iambic pentameter,with a trochaic inversion,porcupine,write a line in iambic pentameter including the word porcupine with a trochaic inversion,"Porcupine quills, a danger sharply shown,
",,,,,,,
in iambic pentameter,with a trochaic inversion,pangolin,write a line in iambic pentameter including the word pangolin with a trochaic inversion,"Pangolin scales, a shimmer in the night.
",,,,,,,
in iambic pentameter,with a trochaic inversion,ocelot,write a line in iambic pentameter including the word ocelot with a trochaic inversion,"Ocelot swift, through jungle shadows glides.
",,,,,,,
in iambic pentameter,with a trochaic inversion,lemur,write a line in iambic pentameter including the word lemur with a trochaic inversion,"Lemur, a shadow, flitted through the trees.
",,,,,,,
in iambic pentameter,with a trochaic inversion,lemming,write a line in iambic pentameter including the word lemming with a trochaic inversion,"Lemming, a frantic rush toward the sea,
",,,,,,,
in iambic pentameter,with a trochaic inversion,otter,write a line in iambic pentameter including the word otter with a trochaic inversion,"Otter sleek, through reeds he swiftly glides.
",,,,,,,
in iambic pentameter,with a trochaic inversion,parrot,write a line in iambic pentameter including the word parrot with a trochaic inversion,"Parrot, a flash of green, then silent grace.
",,,,,,,
in iambic pentameter,with a trochaic inversion,squirrel,write a line in iambic pentameter including the word squirrel with a trochaic inversion,"Down from the oak a frisky squirrel leaped.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,bear,write a line in iambic pentameter including the word bear with a trochaic inversion after a caesura,"The hunter,  ||  bear  swiftly fled his wrath.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,whale,write a line in iambic pentameter including the word whale with a trochaic inversion after a caesura,"The ocean's vastness held a whale, ||  a beast of might.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,sloth,write a line in iambic pentameter including the word sloth with a trochaic inversion after a caesura,"The heavy sloth, //  and then,  a sluggish sleep,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,cat,write a line in iambic pentameter including the word cat with a trochaic inversion after a caesura,"My // gentle cat,  a furry friend so sweet,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,dog,write a line in iambic pentameter including the word dog with a trochaic inversion after a caesura,"My loyal friend, the / dog,  will greet me home.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,giraffe,write a line in iambic pentameter including the word giraffe with a trochaic inversion after a caesura,"The tall giraffe, //  a creature strangely mild,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,gazelle,write a line in iambic pentameter including the word gazelle with a trochaic inversion after a caesura,"Across the plain, || a graceful gazelle leaps.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,baboon,write a line in iambic pentameter including the word baboon with a trochaic inversion after a caesura,"The || baboon, a hairy,  grunting beast, did leap.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,raccoon,write a line in iambic pentameter including the word raccoon with a trochaic inversion after a caesura,"A sleek raccoon, //  swiftly he did climb.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,macaw,write a line in iambic pentameter including the word macaw with a trochaic inversion after a caesura,"Bright | feathered macaw, a jewel of the air,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,alpaca,write a line in iambic pentameter including the word alpaca with a trochaic inversion after a caesura,"The sun dips low, // and then an alpaca grazes.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,hyena,write a line in iambic pentameter including the word hyena with a trochaic inversion after a caesura,"The plains grew still, //  hyena, gaunt and grim,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,chinchilla,write a line in iambic pentameter including the word chinchilla with a trochaic inversion after a caesura,"A creature soft, // the chinchilla, sleek and gray,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,coyote,write a line in iambic pentameter including the word coyote with a trochaic inversion after a caesura,"The desert wind // howled, swift, a coyote cried.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,gorilla,write a line in iambic pentameter including the word gorilla with a trochaic inversion after a caesura,"A mighty gorilla, //  fierce and strong, he stood.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,kangaroo,write a line in iambic pentameter including the word kangaroo with a trochaic inversion after a caesura,"Across the plains, a kangaroo did leap,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,platypus,write a line in iambic pentameter including the word platypus with a trochaic inversion after a caesura,"A strange, //  unseen platypus, creature of myth,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,porcupine,write a line in iambic pentameter including the word porcupine with a trochaic inversion after a caesura,"The prickly porcupine, ||  a rumbling sound,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,pangolin,write a line in iambic pentameter including the word pangolin with a trochaic inversion after a caesura,"The shy pangolin, ||  a creature of the night,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,ocelot,write a line in iambic pentameter including the word ocelot with a trochaic inversion after a caesura,"The jungle slept, //  ocelot did prowl unseen.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,lemur,write a line in iambic pentameter including the word lemur with a trochaic inversion after a caesura,"The slow lemur, //  in shadows, softly crept.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,lemming,write a line in iambic pentameter including the word lemming with a trochaic inversion after a caesura,"The brave lemming, //  swiftly to its doom it ran.
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,otter,write a line in iambic pentameter including the word otter with a trochaic inversion after a caesura,"By the still river, ||  an otter sleek and dark,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,parrot,write a line in iambic pentameter including the word parrot with a trochaic inversion after a caesura,"A feathered pirate, // parrot green and bold,
",,,,,,,
in iambic pentameter,with a trochaic inversion after a caesura,squirrel,write a line in iambic pentameter including the word squirrel with a trochaic inversion after a caesura,"The quick brown squirrel // leaped high into the oak.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,bear,write a line in iambic pentameter including the word bear with an inverted metrical foot,"The grizzly bear, a beast of frightful might,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,whale,write a line in iambic pentameter including the word whale with an inverted metrical foot,"The mighty whale, a mountain in the deep,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,sloth,write a line in iambic pentameter including the word sloth with an inverted metrical foot,"With slothful hand, he dropped the heavy book.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,cat,write a line in iambic pentameter including the word cat with an inverted metrical foot,"The sleek black cat, a shadow in the night.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,dog,write a line in iambic pentameter including the word dog with an inverted metrical foot,"My loyal dog, a friend through thick and thin.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,giraffe,write a line in iambic pentameter including the word giraffe with an inverted metrical foot,"A  giraffe so tall, it grazed the clouds above.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,gazelle,write a line in iambic pentameter including the word gazelle with an inverted metrical foot,"A graceful gazelle, swift, light, and free, it ran.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,baboon,write a line in iambic pentameter including the word baboon with an inverted metrical foot,"A chattering baboon,  the jungle's uncouth king,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,raccoon,write a line in iambic pentameter including the word raccoon with an inverted metrical foot,"A midnight thief, the masked raccoon did creep.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,macaw,write a line in iambic pentameter including the word macaw with an inverted metrical foot,"A brilliant macaw,  with feathers bright did gleam.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,alpaca,write a line in iambic pentameter including the word alpaca with an inverted metrical foot,"The fluffy alpaca grazed upon the hill.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,hyena,write a line in iambic pentameter including the word hyena with an inverted metrical foot,"The laughing hyena, gaunt and grimly pale,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,chinchilla,write a line in iambic pentameter including the word chinchilla with an inverted metrical foot,"A fluffy chinchilla, soft and grey, did sleep.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,coyote,write a line in iambic pentameter including the word coyote with an inverted metrical foot,"Across the plains, a coyote swift did run.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,gorilla,write a line in iambic pentameter including the word gorilla with an inverted metrical foot,"A mighty gorilla, strong and wild and free,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,kangaroo,write a line in iambic pentameter including the word kangaroo with an inverted metrical foot,"A bounding kangaroo,  swift, strong, and free.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,platypus,write a line in iambic pentameter including the word platypus with an inverted metrical foot,"A curious platypus,  swimmingly glides.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,porcupine,write a line in iambic pentameter including the word porcupine with an inverted metrical foot,"A prickly porcupine, the forest's grace,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,pangolin,write a line in iambic pentameter including the word pangolin with an inverted metrical foot,"A pangolin, so shy, did softly creep.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,ocelot,write a line in iambic pentameter including the word ocelot with an inverted metrical foot,"The sleek ocelot,  a shadow in the night,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,lemur,write a line in iambic pentameter including the word lemur with an inverted metrical foot,"A gentle lemur,  swiftly through the trees.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,lemming,write a line in iambic pentameter including the word lemming with an inverted metrical foot,"A lemming, small, did blindly rush to death.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,otter,write a line in iambic pentameter including the word otter with an inverted metrical foot,"Upon the bank, an otter sleek and brown,
",,,,,,,
in iambic pentameter,with an inverted metrical foot,parrot,write a line in iambic pentameter including the word parrot with an inverted metrical foot,"A scarlet parrot squawked, a vibrant sound.
",,,,,,,
in iambic pentameter,with an inverted metrical foot,squirrel,write a line in iambic pentameter including the word squirrel with an inverted metrical foot,"A furry `squirrel` leaped, then quickly ran.
",,,,,,,
of blank verse,,bear,write a line of blank verse including the word bear ,"The mountain wind did moan, a lonely bear.
",,,,,,,
of blank verse,,whale,write a line of blank verse including the word whale ,"A shadow moved beneath the waves, a whale.
",,,,,,,
of blank verse,,sloth,write a line of blank verse including the word sloth ,"A heavy sloth hangs low upon the branch.
",,,,,,,
