,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
0,in iambic pentameter,,sorrow,write a line in iambic pentameter including the word sorrow ,"Beneath the moon, we forge through paths of sorrow.","Beneath the moon, we forge through paths of sorrow.",be NEATH the MOON we FORGE through PATHS of SOR row,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
5,in iambic pentameter,,lament,write a line in iambic pentameter including the word lament ,"Beneath the stars, my heart begins to lament.","Beneath the stars, my heart begins to lament.",be NEATH the STARS my HEART be GINS to.la MENT,-+-+-+-+--+,-+-+-+-+--+,1.0,1,3
10,in iambic pentameter,,truth,write a line in iambic pentameter including the word truth ,"In shadows deep, the truth shall light our way.","In shadows deep, the truth shall light our way.",in SHA dows DEEP the TRUTH shall LIGHT our WAY,-+-+-+-+-+,-+++-+-+-+,1.0,1,3
15,in iambic pentameter,,lie,write a line in iambic pentameter including the word lie ,"Beneath the stars, the silent truths may lie.","Beneath the stars, the silent truths may lie.",be NEATH the STARS the SI lent TRUTHS may LIE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
20,in iambic pentameter,,love,write a line in iambic pentameter including the word love ,"Upon the dawn, our hearts are filled with love.","Upon the dawn, our hearts are filled with love.",u PON the DAWN our HEARTS are FILLED with LOVE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
25,in iambic pentameter,,hate,write a line in iambic pentameter including the word hate ,"In shadows deep, I feel the seed of hate.","In shadows deep, I feel the seed of hate.",in SHA dows DEEP i FEEL the SEED of HATE,-+-+-+-+-+,-+++-+-+-+,1.0,1,3
30,in iambic pentameter,,beginning,write a line in iambic pentameter including the word beginning ,"With every step, we start a new beginning.","With every step, we start a new beginning.",with E very STEP we START a NEW be GIN ning,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
35,in iambic pentameter,,ultimate,write a line in iambic pentameter including the word ultimate ,"In shadows deep, the ultimate truth awaits","In shadows deep, the ultimate truth awaits",in SHA dows DEEP the UL ti.mate TRUTH a WAITS,-+-+-+--+-+,-+++-+--+-+,2.0,2,9
40,in iambic pentameter,,reason,write a line in iambic pentameter including the word reason ,"Within our hearts, we find the strength of reason","Within our hearts, we find the strength of reason",wit HIN our HEARTS we FIND the STRENGTH of REA son,-+-+-+-+-+-,-+-+-+-+-+-,0,0,1
45,in iambic pentameter,,deceit,write a line in iambic pentameter including the word deceit ,Within the shadows danced a veil of deceit,Within the shadows danced a veil of deceit,wit HIN the SHA dows DANCED a VEIL of.de CEIT,-+-+-+-+--+,-+-+++-+--+,2.0,2,4
50,in iambic pentameter,with rhythmic variation,sorrow,write a line in iambic pentameter including the word sorrow with rhythmic variation,"Amid the night, my heart knows deepest sorrow.","Amid the night, my heart knows deepest sorrow.",a MID the NIGHT my HEART knows DEE pest SOR row,-+-+-+-+-+-,-+-+-+++-+-,1.0,1,1
55,in iambic pentameter,with rhythmic variation,lament,write a line in iambic pentameter including the word lament with rhythmic variation,"Upon the winds, my whispered lament sails","Upon the winds, my whispered lament sails",u PON the WINDS my WHIS pered.la MENT sails,-+-+-+--+-,-+-+-+--++,2.0,2,6
60,in iambic pentameter,with rhythmic variation,truth,write a line in iambic pentameter including the word truth with rhythmic variation,The silent valleys guard the whispered truth,The silent valleys guard the whispered truth,the SI lent VAL leys GUARD the WHIS pered TRUTH,-+-+-+-+-+,-+-+-+-+-+,0,0,1
65,in iambic pentameter,with rhythmic variation,lie,write a line in iambic pentameter including the word lie with rhythmic variation,"Beneath the moon, our secrets softly lie.","Beneath the moon, our secrets softly lie.",be NEATH the MOON our SE crets SOF tly LIE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
70,in iambic pentameter,with rhythmic variation,love,write a line in iambic pentameter including the word love with rhythmic variation,"In twilight's hush, your love ignites the stars.","In twilight's hush, your love ignites the stars.",in TWI light's HUSH your LOVE i GNITES the STARS,-+-+-+-+-+,-+-+-+-+-+,0,0,1
75,in iambic pentameter,with rhythmic variation,hate,write a line in iambic pentameter including the word hate with rhythmic variation,"Beneath the moon, my heart still harbors hate","Beneath the moon, my heart still harbors hate",be NEATH the MOON my HEART still HAR bors HATE,-+-+-+-+-+,-+-+-+++-+,1.0,1,1
80,in iambic pentameter,with rhythmic variation,beginning,write a line in iambic pentameter including the word beginning with rhythmic variation,Beginning shadows stretch across the night.,Beginning shadows stretch across the night.,be GIN ning SHA dows STRETCH a CROSS the NIGHT,-+-+-+-+-+,-+-+++-+-+,1.0,1,1
85,in iambic pentameter,with rhythmic variation,ultimate,write a line in iambic pentameter including the word ultimate with rhythmic variation,The ultimate dream unfolds in night’s embrace.,,,,,,,
86,in iambic pentameter,with rhythmic variation,reason,write a line in iambic pentameter including the word reason with rhythmic variation,Silent whispers guide us to reason's path,Silent whispers guide us to reason's path,SI lent WHIS pers GUIDE us.to REA son's PATH,+-+-+--+-+,+-+-+--+-+,0,0,1
91,in iambic pentameter,with rhythmic variation,deceit,write a line in iambic pentameter including the word deceit with rhythmic variation,"Behind the smiles, the web of cruel deceit.","Behind the smiles, the web of cruel deceit.",be HIND the SMILES the WEB of CRUEL de CEIT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
96,in iambic pentameter,with a trochaic inversion,sorrow,write a line in iambic pentameter including the word sorrow with a trochaic inversion,Sorrow whispers through the silent night.,Sorrow whispers through the silent night.,SOR row WHIS pers THROUGH the SI lent NIGHT,+-+-+-+-+,+-+---+-+,1.0,1,1
101,in iambic pentameter,with a trochaic inversion,lament,write a line in iambic pentameter including the word lament with a trochaic inversion,Lament softly in the evening's glow,Lament softly in the evening's glow,la MENT.SOF tly IN the E vening's GLOW,-++-+-+-+,-++-+-+-+,1.0,1,5
106,in iambic pentameter,with a trochaic inversion,truth,write a line in iambic pentameter including the word truth with a trochaic inversion,Truth lies beneath the surface of our hidden fears,Truth lies beneath the surface of our hidden fears,truth LIES be NEATH the SUR face OF our HID den FEARS,-+-+-+-+-+-+,++-+-+---+-+,2.0,2,4
111,in iambic pentameter,with a trochaic inversion,lie,write a line in iambic pentameter including the word lie with a trochaic inversion,Twilight's shadows softly hold the silent lie.,Twilight's shadows softly hold the silent lie.,TWI light's SHA dows SOF tly HOLD the SI lent LIE,+-+-+-+-+-+,+-+++-+-+-+,1.0,1,1
116,in iambic pentameter,with a trochaic inversion,love,write a line in iambic pentameter including the word love with a trochaic inversion,Love shines its light upon the silent earth.,Love shines its light upon the silent earth.,love SHINES its LIGHT u PON the SI lent EARTH,-+-+-+-+-+,++-+-+-+-+,1.0,1,2
