meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
in iambic pentameter,,aardvark,write a line in iambic pentameter including the word aardvark ,Upon the earth the steadfast aardvark roams,Upon the earth the steadfast aardvark roams,u PON the EARTH the STEA dfast AAR dvark ROAMS,-+-+-+-+-+,-+-+-+++++,2.0,2,4
in iambic pentameter,,aardvark,write a line in iambic pentameter including the word aardvark ,Upon the earth the steadfast aardvark roams,Upon the earth the steadfast aardvark roams,u PON the EARTH the STEA dfast AAR dvark ROAMS,-+-+-+-+-+,-+-+-+++++,2.0,2,4
in iambic pentameter,,aardvark,write a line in iambic pentameter including the word aardvark ,Upon the earth the steadfast aardvark roams,Upon the earth the steadfast aardvark roams,u PON the EARTH the STEA dfast AAR dvark ROAMS,-+-+-+-+-+,-+-+-+++++,2.0,2,4
in iambic pentameter,,albatross,write a line in iambic pentameter including the word albatross ,The albatross sails through the morning breeze,The albatross sails through the morning breeze,the AL ba TROSS.SAILS through.the MOR ning BREEZE,-+-++--+-+,-+-++--+-+,1.0,1,3
in iambic pentameter,,albatross,write a line in iambic pentameter including the word albatross ,The albatross sails through the morning breeze,The albatross sails through the morning breeze,the AL ba TROSS.SAILS through.the MOR ning BREEZE,-+-++--+-+,-+-++--+-+,1.0,1,3
in iambic pentameter,,albatross,write a line in iambic pentameter including the word albatross ,The albatross sails through the morning breeze,The albatross sails through the morning breeze,the AL ba TROSS.SAILS through.the MOR ning BREEZE,-+-++--+-+,-+-++--+-+,1.0,1,3
in iambic pentameter,,alligator,write a line in iambic pentameter including the word alligator ,The sly alligator lurks beneath the waves.,The sly alligator lurks beneath the waves.,the SLY.AL li GA tor LURKS be NEATH the WAVES,-++-+-+-+-+,-++-+-+-+-+,1.0,1,3
in iambic pentameter,,alligator,write a line in iambic pentameter including the word alligator ,The sly alligator lurks beneath the waves.,The sly alligator lurks beneath the waves.,the SLY.AL li GA tor LURKS be NEATH the WAVES,-++-+-+-+-+,-++-+-+-+-+,1.0,1,3
in iambic pentameter,,alligator,write a line in iambic pentameter including the word alligator ,The sly alligator lurks beneath the waves.,The sly alligator lurks beneath the waves.,the SLY.AL li GA tor LURKS be NEATH the WAVES,-++-+-+-+-+,-++-+-+-+-+,1.0,1,3
in iambic pentameter,,alpaca,write a line in iambic pentameter including the word alpaca ,"Beneath the starlit sky, the alpaca roams.","Beneath the starlit sky, the alpaca roams.",be NEATH the STAR lit SKY THE al PA ca ROAMS,-+-+-++-+-+,-+-+-+--+-+,1.0,1,2
