meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,A grizzly bear stalks through the silent wood.,A grizzly bear stalks through the silent wood.,a GRIZ zly BEAR.STALKS through.the SI lent WOOD,-+-++--+-+,-+-++--+-+,1.0,1,2
in iambic pentameter,,bear,write a line in iambic pentameter including the word bear ,A grizzly bear stalks through the silent wood.,A grizzly bear stalks through the silent wood.,a GRIZ zly BEAR.STALKS through.the SI lent WOOD,-+-++--+-+,-+-++--+-+,1.0,1,2
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale ,A mighty whale did breach the ocean's swell.,A mighty whale did breach the ocean's swell.,a MIGH ty WHALE did BREACH the O cean's SWELL,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale ,A mighty whale did breach the ocean's swell.,A mighty whale did breach the ocean's swell.,a MIGH ty WHALE did BREACH the O cean's SWELL,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale ,A mighty whale did breach the ocean's swell.,A mighty whale did breach the ocean's swell.,a MIGH ty WHALE did BREACH the O cean's SWELL,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,whale,write a line in iambic pentameter including the word whale ,A mighty whale did breach the ocean's swell.,A mighty whale did breach the ocean's swell.,a MIGH ty WHALE did BREACH the O cean's SWELL,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,sloth,write a line in iambic pentameter including the word sloth ,The heavy sloth of winter holds the land.,The heavy sloth of winter holds the land.,the HEA vy SLOTH of WIN ter HOLDS the LAND,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,sloth,write a line in iambic pentameter including the word sloth ,The heavy sloth of winter holds the land.,The heavy sloth of winter holds the land.,the HEA vy SLOTH of WIN ter HOLDS the LAND,-+-+-+-+-+,-+-+-+-+-+,0.0,0,1
in iambic pentameter,,cat,write a line in iambic pentameter including the word cat ,A sleek black cat upon the window sat.,A sleek black cat upon the window sat.,a SLEEK black CAT u PON the WIN dow SAT,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
in iambic pentameter,,cat,write a line in iambic pentameter including the word cat ,A sleek black cat upon the window sat.,A sleek black cat upon the window sat.,a SLEEK black CAT u PON the WIN dow SAT,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
