,meter_x,variation,seed_word,prompt,response,line_txt,txt,meter_y,stress,score,num_viols,ambig
0,in iambic pentameter,none,bear,write a line in iambic pentameter including the word bear ,The weary bear descends the mountain's height.,The weary bear descends the mountain's height.,the WEA ry BEAR des CENDS the MOUN tain's HEIGHT,-+-+-+-+-+,-+-+-+-+-+,0,0,1
1,in iambic pentameter,none,whale,write a line in iambic pentameter including the word whale ,"Beneath the waves, the mighty whale does glide.","Beneath the waves, the mighty whale does glide.",be NEATH the WAVES the MIGH ty WHALE does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
2,in iambic pentameter,none,whale,write a line in iambic pentameter including the word whale ,"Beneath the waves, the mighty whale does glide.","Beneath the waves, the mighty whale does glide.",be NEATH the WAVES the MIGH ty WHALE does GLIDE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
3,in iambic pentameter,none,sloth,write a line in iambic pentameter including the word sloth ,The sloth ascends the tree with gentle grace.,The sloth ascends the tree with gentle grace.,the SLOTH as CENDS the TREE with GEN tle GRACE,-+-+-+-+-+,-+-+-+-+-+,0,0,1
4,in iambic pentameter,none,cat,write a line in iambic pentameter including the word cat ,The moonlight danced upon the silent cat.,The moonlight danced upon the silent cat.,the MOON light DANCED u PON the SI lent CAT,-+-+-+-+-+,-+++-+-+-+,1.0,1,1
5,in iambic pentameter,none,dog,write a line in iambic pentameter including the word dog ,The loyal dog awaits beside the fire.,The loyal dog awaits beside the fire.,the LOY al DOG a WAITS be SIDE the FIRE,-+-+-+-+-+,-+-+-+-+-+,0,0,2
6,in iambic pentameter,none,giraffe,write a line in iambic pentameter including the word giraffe ,Majestic stands the spotted giraffe so tall.,Majestic stands the spotted giraffe so tall.,ma JES tic STANDS the SPOT ted.gi RAFFE so TALL,-+-+-+--+-+,-+-+-+--+-+,1.0,1,2
7,in iambic pentameter,none,gazelle,write a line in iambic pentameter including the word gazelle ,The graceful gazelle leaps through the verdant field.,The graceful gazelle leaps through the verdant field.,the GRA ceful.ga ZELLE.LEAPS through.the VER dant FIELD,-+--++--+-+,-+--++--+-+,2.0,2,6
8,in iambic pentameter,none,baboon,write a line in iambic pentameter including the word baboon ,The baboon leaps beneath the pale moon's light.,The baboon leaps beneath the pale moon's light.,the.ba BOON.LEAPS be NEATH the PALE moon's LIGHT,--++-+-+-+,--++-+-+++,3.0,3,4
9,in iambic pentameter,none,raccoon,write a line in iambic pentameter including the word raccoon ,The sly raccoon crept through the moonlit night.,The sly raccoon crept through the moonlit night.,the SLY rac COON.CREPT through.the MOON lit NIGHT,-+-++--+-+,-+-++--+++,2.0,2,3
10,in iambic pentameter,none,macaw,write a line in iambic pentameter including the word macaw ,The vibrant macaw calls through lush green trees.,The vibrant macaw calls through lush green trees.,the VI brant.ma CAW.CALLS through LUSH green TREES,-+--++-+-+,-+--++-+++,3.0,3,6
11,in iambic pentameter,none,alpaca,write a line in iambic pentameter including the word alpaca ,The gentle alpaca roams the mountain high.,The gentle alpaca roams the mountain high.,the GEN tle.al PA ca ROAMS the MOUN tain HIGH,-+--+-+-+-+,-+--+-+-+-+,1.0,1,4
12,in iambic pentameter,none,hyena,write a line in iambic pentameter including the word hyena ,The moonlight casts its glow; a lone hyena prowls.,The moonlight casts its glow; a lone hyena prowls.,the MOON light CASTS its GLOW a LONE hye N a PROWLS,-+-+-+-+-+-+,-+++-+-+-+-+,1.0,1,1
